Data;Feriado
01/01/2013;Confraternizacao Universal
11/02/2013;Carnaval
12/02/2013;Quarta-feira de cinzas
29/03/2013;Paixao de Cristo
21/04/2013;Tiradentes
01/05/2013;Dia do Trabalho
30/05/2013;Corpus Christi
07/09/2013;Independencia do Brasil
12/10/2013;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2013;Finados
15/11/2013;Proclamacao da Republica
25/12/2013;Natal
01/01/2014;Confraternizacao Universal
03/03/2014;Carnaval
04/03/2014;Quarta-feira de cinzas
18/04/2014;Paixao de Cristo
21/04/2014;Tiradentes
01/05/2014;Dia do Trabalho
19/06/2014;Corpus Christi
07/09/2014;Independencia do Brasil
12/10/2014;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2014;Finados
15/11/2014;Proclamacao da Republica
25/12/2014;Natal
01/01/2015;Confraternizacao Universal
16/02/2015;Carnaval
17/02/2015;Quarta-feira de cinzas
03/04/2015;Paixao de Cristo
21/04/2015;Tiradentes
01/05/2015;Dia do Trabalho
04/06/2015;Corpus Christi
07/09/2015;Independencia do Brasil
12/10/2015;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2015;Finados
15/11/2015;Proclamacao da Republica
25/12/2015;Natal
01/01/2016;Confraternizacao Universal
08/02/2016;Carnaval
09/02/2016;Quarta-feira de cinzas
25/03/2016;Paixao de Cristo
21/04/2016;Tiradentes
01/05/2016;Dia do Trabalho
26/05/2016;Corpus Christi
07/09/2016;Independencia do Brasil
12/10/2016;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2016;Finados
15/11/2016;Proclamacao da Republica
25/12/2016;Natal
01/01/2017;Confraternizacao Universal
27/02/2017;Carnaval
28/02/2017;Quarta-feira de cinzas
14/04/2017;Paixao de Cristo
21/04/2017;Tiradentes
01/05/2017;Dia do Trabalho
15/06/2017;Corpus Christi
07/09/2017;Independencia do Brasil
12/10/2017;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2017;Finados
15/11/2017;Proclamacao da Republica
25/12/2017;Natal
01/01/2018;Confraternizacao Universal
12/02/2018;Carnaval
13/02/2018;Quarta-feira de cinzas
30/03/2018;Paixao de Cristo
21/04/2018;Tiradentes
01/05/2018;Dia do Trabalho
31/05/2018;Corpus Christi
07/09/2018;Independencia do Brasil
12/10/2018;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2018;Finados
15/11/2018;Proclamacao da Republica
25/12/2018;Natal
01/01/2019;Confraternizacao Universal
04/03/2019;Carnaval
05/03/2019;Quarta-feira de cinzas
19/04/2019;Paixao de Cristo
21/04/2019;Tiradentes
01/05/2019;Dia do Trabalho
20/06/2019;Corpus Christi
07/09/2019;Independencia do Brasil
12/10/2019;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2019;Finados
15/11/2019;Proclamacao da Republica
25/12/2019;Natal
01/01/2020;Confraternizacao Universal
24/02/2020;Carnaval
25/02/2020;Quarta-feira de cinzas
10/04/2020;Paixao de Cristo
21/04/2020;Tiradentes
01/05/2020;Dia do Trabalho
11/06/2020;Corpus Christi
07/09/2020;Independencia do Brasil
12/10/2020;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2020;Finados
15/11/2020;Proclamacao da Republica
25/12/2020;Natal
01/01/2021;Confraternizacao Universal
15/02/2021;Carnaval
16/02/2021;Quarta-feira de cinzas
02/04/2021;Paixao de Cristo
21/04/2021;Tiradentes
04/04/2021;Páscoa
01/05/2021;Dia do Trabalhador
03/06/2021;Corpo de Cristo
07/09/2021;Independencia
12/10/2021;Nossa Senhora Aparecida
02/11/2021;Finados
15/11/2021;Proclamacao da Republica
25/12/2021;Natal
01/01/2022;Confraternizacao Universal
28/02/2022;Carnaval
01/03/2022;Quarta-feira de cinzas
15/04/2022;Paixao de Cristo
21/04/2022;Tiradentes
17/04/2022;Páscoa
01/05/2022;Dia do Trabalhador
16/06/2022;Corpo de Cristo
07/09/2022;Independencia
12/10/2022;Nossa Senhora Aparecida
02/11/2022;Finados
15/11/2022;Proclamacao da Republica
25/12/2022;Natal
01/01/2023;Confraternizacao Universal
20/02/2023;Carnaval
21/02/2023;Quarta-feira de cinzas
07/04/2023;Paixao de Cristo
21/04/2023;Tiradentes
09/04/2023;Páscoa
01/05/2023;Dia do Trabalhador
08/06/2023;Corpo de Cristo
07/09/2023;Independencia
12/10/2023;Nossa Senhora Aparecida
02/11/2023;Finados
15/11/2023;Proclamacao da Republica
25/12/2023;Natal
